,Title,Journal,Publication Date,Cited by,Abstract
52,Risk management project for work with precast concrete shells,"Work (Reading, Mass.)",2012,,"This paper describes a project with the aim of reducing the risk of injury when using precast concrete shells in the Swedish construction industry by identifying injury risks, developing and implementing solutions. An interactive research approach was used. Three major injury risks were identified and a system consisting of three tools and a handbook was developed, evaluated, and implemented at one company and made available to the construction industry."
53,"Protecting Construction Worker Health and Safety in Ontario, Canada: Identifying a Union Safety Effect",Journal of occupational and environmental medicine,2015 Dec,,"Objectives:                       Do Ontario unionized construction firms have lower workers' compensation claims rates compared with nonunion firms?                  Methods:                       Building trade and construction trade association lists of union contractors were linked to Workplace Safety and Insurance Board claims data for 2006 to 2012. Data were pooled for 2006 to 2012, and negative binomial regressions conducted with adjustment to estimate a union safety effect.                  Results:                       The sample included 5797 unionized and 38,626 nonunion construction firms. Total claims rates were 13% higher (1.13, 1.09 to 1.18) in unionized firms because of higher allowed no-lost-time claim rates (1.28, 1.23 to 1.34), whereas the lost-time claims rate was 14% lower (0.86, 0.82 to 0.91).                  Conclusions:                       Unionized construction firms compared with nonunion firms have higher no-lost-time and lower lost-time claims rates. Unionized firms may encourage occupational injury reporting and reduce risks through training and hazard identification and control strategies."
54,Psychological Constructs Related to Seat Belt Use: A Nationally Representative Survey Study,Accident; analysis and prevention,2020 Dec,,"Seat belt use can significantly reduce fatalities in motor vehicle crashes (Kahane, 2000). Nevertheless, the current U.S. seat belt use rate of 89.6% (Enriquez & Pickrell, 2019) indicates that a relatively small but pervasive portion of the population does not wear seat belts on a full-time basis. Whereas much is known about the demographic predictors of seat belt use, far less is understood about psychological factors that predict individual proclivities toward using or not using a seat belt. In this study, we examined some of these potential psychological predictors. A probability-based web survey was conducted with 6,038 U.S. residents aged 16 or older who reported having driven or ridden in a car in the past year. We measured self-reported seat belt use and 18 psychological constructs and found that delay of gratification, life satisfaction, risk aversion, risk perception, and resistance to peer influence were positively associated with belt use. Impulsivity and social resistance orientation were negatively associated with belt use. Prior research has shown that psychological factors like delay of gratification, risk aversion/perception, and impulsivity predict other health behaviors (e.g., cigarette smoking, sunscreen use); our results extend this literature to seat belts and can aid the development of traffic safety programs targeted at non-users who-due to such factors-may be resistant to more traditional countermeasures such as legislation and enforcement."
55,Crash severity effects of adaptive signal control technology: An empirical assessment with insights from Pennsylvania and Virginia,Accident; analysis and prevention,2019 Mar,,"Adaptive signal control technology (ASCT) is an intelligent transportation systems (ITS) technology that optimizes signal timings in real time to improve corridor flow. While a few past studies have examined the impact of ASCT on crash frequency, little is known about its effect on injury severity outcomes. Similarly, the impact of different types of ASCTs deployed across different states is also uncertain. This paper therefore, used ordered probit models with random parameters to estimate the injury severity outcomes resulting from ASCT deployment across Pennsylvania and Virginia. Two disparate systems deployed across the two different states were analyzed to assess whether they had similar impacts on injury severity, although signal timings are optimized using different algorithms by both systems. The estimation results revealed that both ASCT systems were associated with reductions in injury severity levels. Marginal effects showed that Type A ASCT systems reduced the propensity of severe plus moderate and minor injury crashes by 11.70% and 10.36% while type B ASCT reduced the propensity of severe plus moderate and minor injury crashes by 4.39% and 6.92%. Similarly, the ASCTs deployed across the two states were also observed to reduce injury severities. The combined best fit model also revealed a similar trend towards reductions in severe plus moderate and minor injury crashes by 5.24% and 9.91%. This model performed well on validation data with a low forecast error of 0.301 and was also observed to be spatially transferable. These results encourage the consideration of ASCT deployments at intersections with high crash severities and have practical implications for aiding agencies in making future deployment decisions about ASCT."
56,The effectiveness and safety of pharmacological prophylaxis against venous thromboembolism in patients with moderate to severe traumatic brain injury: A systematic review and meta-analysis,The journal of trauma and acute care surgery,2016 Sep,,"Background:                       Venous thromboembolism (VTE) is a common, potentially fatal complication after traumatic brain injury (TBI). The objective was to evaluate the effectiveness and safety of pharmacologic VTE prophylaxis in moderate to severe TBI patients, and its use in hospitals.                  Data sources:                       A systematic review of the literature was conducted using Medline, Embase, Central database, Google scholar, and the SciELO from 1966 to 2014.                  Study selection & data extraction:                       All studies providing information on the following variables-use of VTE prophylaxis (both pharmacological and nonpharmacological), initiation of treatment, application of specific protocols, rates of VTE and hemorrhagic progression of the traumatic brain injury on computed tomographic scan-were included. The random effects model was used to calculate pooled effect estimates. Heterogeneity among studies was assessed using the Cochran Q homogeneity test. A forest plot was constructed, and aggregate odds ratio was computed. Potential publication bias was evaluated using funnel plots.                  Methods & main results:                       A total of 12 retrospective observational studies were identified, totaling 8,747 patients. Six studies (3,325 patients) were used to analyze the safety and five (2,105 patients) to analyze the effectiveness of pharmacological versus nonpharmacological prophylaxis, without considering the timing of treatment. Four studies (1,371 patients) were used to evaluate early versus late pharmacologic prophylaxis, with results favoring early administration (odds ratio, 0.46; 95% confidence interval, 0.24-0.88; p < 0.05; I, 46%) and showing no significant differences regarding safety. Three studies (4,133 patients), used to analyze VTE prophylaxis protocols, showed significant heterogeneity (p < 0.01).                  Conclusion:                       When we compared mechanical and pharmacological prophylaxis, the results were heterogeneous; and thus, their potential differences could not be assessed. In some studies, the introduction of prophylaxis protocols in neurocritical patient care improved their effectiveness. Early pharmacologic prophylaxis, in the first 72 hours after TBI, was more effective than late, when there was no hemorrhagic progression within 24 hours after injury; no significant differences were found regarding safety.                  Level of evedince:                       Systematic review/meta-analysis, level III."
57,Epidemiology of injuries treated at a hand and microsurgery hospital,Acta orthopaedica et traumatologica turcica,2010,,"Objectives:                       The aim of this study was to evaluate the epidemiology of injuries treated at a hand and microsurgery hospital between 1992 and 2005.                  Methods:                       This is a descriptive retrospective study based on medical records of a hand and microsurgery hospital in İzmir for the years 1992-2005. A total of 8,946 injuries involving 8,817 patients were included. Data on diagnosis were recorded according to ICD-10. Intent, activity when injured, mechanism of injury, object/substance producing injury, and place of injury were recoded according to International Classification of External Causes of Injury (ICECI).                  Results:                       The most common types of injury were amputations (32.3%), fractures (23.7%), and open wounds (19.9%) of the wrist and hand. Most injuries were sustained by males; 28.4% of injuries occurred during summer. According to activity, 76.3% were injured during paid work, 10.4% during transportation, 9.1% during unpaid work, and 3.8% during leisure time sports and exercise. Injuries most commonly occurred while operating a machine. The risk of hand injury was elevated in those younger than 35 years of age, males, persons outside İzmir province, and in Social Security Instution (SSI) insured workers (p<0.001). The riskiest activity for hand injuries was paid work. Compared to baseline, the risk of hand injuries was 29 times [95% confidence interval (CI) 16.36-50.40] as high in industrial or construction areas, and 50 times (95% CI 17.29-143.96) as high in commercial places                  Conclusion:                       Hand injuries are important because of their consequences, such as permanent disability and their high treatment costs. This study points out many important risk factors, and has contributed the development of hypotheses about injury types, under-notification of occupational injuries, and child labour. The inclusion of medical records from such specialized hospitals into national databases will aid in the prevention of these injuries, and induce developments in diagnosis and treatment."
58,Dexmedetomidine alleviates blunt chest trauma and hemorrhagic shock‑resuscitation‑induced acute lung injury through inhibiting the NLRP3 inflammasome,Molecular medicine reports,2020 Sep,,"Blunt chest trauma with hemorrhagic shock frequently induces pulmonary inflammation that leads to acute lung injury (ALI). The present study aimed to explore the protective effects of dexmedetomidine (Dex) in blunt chest trauma and hemorrhagic shock‑resuscitation (THSR)‑induced ALI by mediating nucleotide binding and oligomerization domain‑like receptor family pyrin domain‑containing protein 3 (NLRP3) inflammasome formation in rats. An ALI model in rats induced by THSR was constructed and Dex was administered intraperitoneally (5 µg/kg/h) immediately after blunt chest trauma. Blood samples were collected for the determination of proinflammatory factor levels, and lung tissue specimens were harvested for wet/dry (W/D) weight ratio, hematoxylin and eosin staining, and transmission electron microscopy analyses. Additionally, malondialdehyde (MDA), superoxide dismutase (SOD), lactate dehydrogenase (LDH) and myeloperoxidase (MPO) activity were evaluated, and the expression of protein in lung tissues was examined via western blot analysis. Compared with the sham group, pathological alterations in the ALI group and the W/D ratios were significantly increased. MDA, LDH and MPO activity, and the levels of interleukin (IL)‑1β, IL‑18, IL‑6 and tumor necrosis factor‑α were significantly elevated. NLRP3, apoptosis‑associated speck‑like protein containing a caspase recruitment domain and caspase‑1 expression was significantly increased. Conversely, Dex treatment significantly reversed these changes. The present study demonstrated that by reducing inflammatory responses, Dex exerted protective effects against THSR‑ALI in rats, potentially via the inhibition of NLRP3 signaling pathways."
59,Occupational burns treated in emergency departments,American journal of industrial medicine,2015 Mar,,"Background:                       Despite reported declines, occupational burn injuries remain a workplace safety concern. More severe burns may result in costly medical treatment and long-term physical and psychological consequences.                  Methods:                       We used the National Electronic Injury Surveillance System-Occupational Supplement to produce national estimates of burns treated in emergency departments (EDs). We analyzed data trends from 1999 to 2008 and provided detailed descriptions of 2008 data.                  Results:                       From 1999 to 2008 there were 1,132,000 (95% CI: ±192,300) nonfatal occupational burns treated in EDs. Burn numbers and rates declined approximately 40% over the 10 years. In 2008, men and younger workers 15-24 years old had the highest rates. Scalds and thermal burns accounted for more than 60% of burns. Accommodation and food service, manufacturing, and construction industries had the largest number of burns.                  Conclusions:                       Despite declining burn rates, emphasis is needed on reducing burn hazards to young food service workers and using job specific hazard analyses to prevent burns."
60,A 10-step safety management framework for construction small and medium-sized enterprises,International journal of occupational safety and ergonomics : JOSE,2017 Sep,,It is of great importance to develop an occupational health and safety management system (OHS MS) to form a systemized approach to improve health and safety. It is a known fact that thousands of accidents and injuries occur in the construction industry. Most of these accidents occur in small and medium-sized enterprises (SMEs). This article provides a 10-step user-friendly OHS MS for the construction industry. A quantitative OHS MS indexing method is also introduced in the article. The practical application of the system to real SMEs and its promising results are also presented.
61,GC-MS based metabolomic profiling of lung tissue couple with network pharmacology revealed the possible protection mechanism of Pudilan Xiaoyan Oral Liquid in LPS-induced lung injury of mice,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2020 Apr,,"Pudilan Xiaoyan Oral Liquid (PDL) originated from ""Pudilan"" Classic Recipe of traditional Chinese medicine is one kind of anti-inflammatory Chinese patent medicine recorded in Chinese Pharmacopeia. PDL has been used clinically for treating inflammatory diseases of the respiratory tract. However, due to the complex composition of PDL, its potential anti-inflammation and the mechanism remain unknown. To identify the mechanism of the PDL in the treatment of lipopolysaccharide (LPS)-induced lung injury of mice. The mice models of lung injury were established and the changes of biochemical indices in serum and histopathology were detected to explore the effects of PDL. The approach of GC-MS metabolomics was used to find more significant metabolites, and the metabolic pathways were enriched through MetaboAnalyst. Then network analysis was applied to visualize the protein related to the important metabolites, merging into a protein-metabolite network via Cytoscape. The treatment of PDL could attenuate LPS-induced histopathological damage of lung tissues, followed by reducing pro-inflammation mediators including IL-10, TNF-a and NF-ĸB in serum. 11 potential metabolites were identified in lung tissue through metabolomics, which were significantly regulated to recover by PDL treatment. The correlated network was constructed by integrating potential metabolites and pathways. Aspartate and l-cysteine were selected as key metabolites and correlated proteins such as IL4I1 and ASPA were speculated as the potential target to treat LPS-induced lung injury using PDL. These results demonstrated that PDL might prevent the pathological process of lung injury through regulating the disturbed protein-metabolite network."
62,Variability of child access prevention laws and pediatric firearm injuries,The journal of trauma and acute care surgery,2018 Apr,,"Background:                       State-level child access prevention (CAP) laws impose criminal liability on adults who negligently allow children access to firearms. The CAP laws can be further divided into strong CAP laws which impose criminal liability for negligently stored firearms and weak CAP laws that prohibit adults from intentionally, knowingly, and/or recklessly providing firearms to a minor. We hypothesized that strong CAP laws would be associated with a greater reduction in pediatric firearm injuries than weak CAP laws.                  Methods:                       We constructed a cross-sectional national study using the Healthcare Cost and Utilization Project-Kids Inpatient Database from 2006 and 2009 using weighted counts of firearm-related admissions among children younger than 18 years. Poisson regression was used to estimate the association of CAP laws with pediatric firearm injuries.                  Results:                       After adjusting for race, sex, age, and socioeconomic income quartile, strong CAP laws were associated with a significant reduction in all (incidence rate ratio, 0.70; 95% confidence interval, 0.52-0.93), self-inflicted (incidence rate ratio, 0.46; 95% confidence interval, 0.26-0.79), and unintentional (incidence rate ratio, 0.56; 95% confidence interval, 0.43-0.74) pediatric firearm injuries. Weak CAP laws, which only impose liability for reckless endangerment, were associated with an increased risk of all pediatric firearm injuries.                  Conclusion:                       The association of CAP laws on hospitalizations for pediatric firearm injuries differed greatly depending on whether a state had adopted a strong CAP law or a weak CAP law. Implementation of strong CAP laws by each state, which require safe storage of firearms, has the potential to significantly reduce pediatric firearm injuries.                  Level of evidence:                       Prognostic and epidemiology study, level III."
63,Mechanical properties of protective spectacles fitted with corrective lenses,International journal of occupational safety and ergonomics : JOSE,2017 Sep,,"The majority of commercially available corrective spectacles used by workers do not provide effective eye protection against mechanical hazards in the workplace. One of the risks commonly occurring during work is hitting the head on some protruding elements, such as components of machines, buildings or tree branches in a forest. Because of the considerable weight of the human head and the speed of movement during impact, this type of accident may be very serious. This article presents a method of testing the mechanical strength of corrective lenses, simulating the results of an impact of the head on elements of workplaces. The results of tests of commercially available materials used for the construction of corrective and protective spectacles are also presented and discussed."
64,Development of a PHMB hydrogel-modified wound scaffold dressing with antibacterial activity,Wound repair and regeneration : official publication of the Wound Healing Society [and] the European Tissue Repair Society,2020 Jul,,"Current wound scaffold dressing constructs can facilitate wound healing but do not exhibit antibacterial activity, resulting in high infection rates. We aimed to endow wound scaffold dressing with anti-infective ability by polyhexamethylenebiguanide (PHMB). We prepared PHMB hydrogel at varying concentrations (0.25%, 0.5%, 1%, 2%) and assessed release and cytotoxicity. PHMB hydrogel was added to the wound scaffold dressing to generate a PHMB hydrogel-modified wound scaffold dressing. Wound healing and infection prevention were evaluated using a full-thickness skin defect model in rats. In vitro, the hydrogel PHMB release time positively correlated with PHMB concentration, with 1% allowing sufficiently long release time to encompass the high-incidence period (3-5 days) of infection following wound scaffold dressing implantation. Implantation of 1% PHMB hydrogel into the skin did not cause adverse responses. in vitro cytotoxicity assays showed the PHMB hydrogel-modified wound scaffold dressing did not significantly affect proliferation of fibroblasts or vascular endothelial cells, 99.90% vs 99.84% for fibroblasts and 100.21% vs 99.28% for vascular endothelial cells at 21 days. Transplantation of PHMB hydrogel-modified wound scaffold dressing/unmodified wound scaffold dressing on the non-infected wounds of rats yielded no significant difference in relative vascularization rate, 47.40 vs 50.87 per view at 21 days, whereas bacterial content of the wound tissue in the PHMB hydrogel-modified wound scaffold dressing group was significantly lower than the unmodified wound scaffold dressing group, (1.80 ± 0.35) × 103 vs (9.34 ± 0.45) × 103 at 14 days. Prevalence of persistent wound infection in the rats receiving PHMB hydrogel-modified wound scaffold dressing transplantation onto infected wounds was significantly lower than the unmodified wound scaffold dressing group, 30% vs 100%. PHMB hydrogel-modified wound scaffold dressing exhibited suitable antibacterial ability, and its biological activity did not significantly differ from that of the unmodified wound scaffold dressing, thereby allowing it to effectively prevent infection following wound scaffold dressing implantation."
65,Calculation of an Optic Nerve Injury Risk Profile Before Sphenoid Sinus Surgery,The Journal of craniofacial surgery,2017 Jan,,"Objectives:                       Our objective was to analyze variations in the optic nerve (ON) course and surrounding structures in an effort to construct an optic nerve injury risk profile before endoscopic intranasal sphenoidal, or endoscopic endonasal transphenoidal, skull-base surgery, and eventually to construct and formulate a common classification by combining the known classes. The authors used computed tomography (CT) toward this end.                  Methods:                       The authors retrospectively reviewed 200 consecutive CT scans (400 sides) of the paranasal sinuses. The pneumatization of the anterior clinoid process, the relationships of the ONs to the sphenoidal sinuses, and ON dehiscence were evaluated. The authors then created a formula by which risk profiles can be constructed for patients for whom sphenoid or parasellar surgery is planned.                  Results:                       Pneumatization of the anterior clinoid process was evident in 28.25%. Dehiscence of the bony wall of the ON was evident in 9.5%. The ON course lay adjacent to the sphenoidal sinus, causing sinus wall indentation, in 23%. Cumulative optic nerve injury risk scoring showed that, radiologically, surgery on 8.5% and 1.5% of sphenoid sinuses described here carried severe or critical risk of ON injury, respectively.                  Conclusions:                       Head-and-neck surgeons and neurosurgeons should be aware of variations in ON course. The authors composed an optic nerve injury risk classification category based on the sum of individual weights of each of these classes. Reductions in ON injuries require careful evaluation of potential variant anatomies. Preoperative CT scans must be meticulously reviewed to avoid ON injury."
66,"Occupational ladder fall injuries - United States, 2011",MMWR. Morbidity and mortality weekly report,2014 Apr 25,,"Falls remain a leading cause of unintentional injury mortality nationwide [corrected].Among workers, approximately 20% of fall injuries involve ladders. Among construction workers, an estimated 81% of fall injuries treated in U.S. emergency departments (EDs) involve a ladder. To fully characterize fatal and nonfatal injuries associated with ladder falls among workers in the United States, CDC's National Institute for Occupational Safety and Health (NIOSH) analyzed data across multiple surveillance systems: 1) the Census of Fatal Occupational Injuries (CFOI), 2) the Survey of Occupational Injuries and Illnesses (SOII), and 3) the National Electronic Injury Surveillance System-occupational supplement (NEISS-Work). In 2011, work-related ladder fall injuries (LFIs) resulted in 113 fatalities (0.09 per 100,000 full-time equivalent [FTE] workers), an estimated 15,460 nonfatal injuries reported by employers that involved ≥1 days away from work (DAFW), and an estimated 34,000 nonfatal injuries treated in EDs. Rates for nonfatal, work-related, ED-treated LFIs were higher (2.6 per 10,000 FTE) than those for such injuries reported by employers (1.2 per 10,000 FTE). LFIs represent a substantial public health burden of preventable injuries for workers. Because falls are the leading cause of work-related injuries and deaths in construction, NIOSH, the Occupational Safety and Health Administration, and the Center for Construction Research and Training are promoting a national campaign to prevent workplace falls. NIOSH is also developing innovative technologies to complement safe ladder use."
67,Electrical deaths in the US construction: an analysis of fatality investigations,International journal of injury control and safety promotion,2014,,"Electrocution is among the 'fatal four' in US construction according to the Occupational Safety and Health Administration. Learning from failures is believed to be an effective path to success, with deaths being the most serious system failures. This paper examined the failures in electrical safety by analysing all electrical fatality investigations (N = 132) occurring between 1989 and 2010 from the Fatality Assessment and Control Evaluation programme that is completed by the National Institute of Occupational Safety and Health. Results reveal the features of the electrical fatalities in construction and disclose the most common electrical safety challenges on construction sites. This research also suggests the sociotechnical system breakdowns and the less effectiveness of current safety training programmes may significantly contribute to worker's unsafe behaviours and electrical fatality occurrences."
68,The use of actor-based immersive health and safety inductions: Lessons from the Thames Tideway Tunnel megaproject,Applied ergonomics,2020 Jan,,"Health and safety inductions are ubiquitous in construction but tend to be poorly designed and suffer low levels of worker engagement. In this paper we report on the evaluation of an innovative, full day, actor-based health and safety induction called EPIC, currently being used on London's Thames Tideway Tunnel megaproject. As of March 2019, more than 14,000 individuals had attended EPIC. This evaluation examines the impact of EPIC from the perspective of participants and other stakeholders, and considers the utility of actor-based immersive health and safety inductions for use more widely, in both construction and other sectors. Using a mixed-method, longitudinal approach to data collection, EPIC is evaluated against Kirkpatrick's (1959) 'four levels' framework of reactions, learning, behaviour change and results. This paper discusses factors which support and hinder actor-based inductions, and the challenges involved in assessing the impact of inductions on subsequent behaviour and health and safety outcomes."
69,Empirical Bayes before-after evaluation of horizontal curve warning pavement markings on two-lane rural highways in Pennsylvania,Accident; analysis and prevention,2020 Oct,,"Roadway departure crashes contribute to a large proportion of fatal and injury crashes in the United States. These crash types are more likely to occur along horizontal curve sections of a roadway. Countermeasures that prevent vehicles from departing the roadway is one method to mitigate roadway departure crashes. Pennsylvania has deployed on-pavement horizontal curve warning markings in advance of horizontal curves on two-lane rural highways as a roadway departure crash reduction strategy. This study used an Empirical Bayes (EB) before-after study design to evaluate the safety effects of the horizontal curve warning pavement markings. A total of 263 treatment sites and more than 21,000 reference sites were included in the evaluation. Crash modification factors were developed for total, fatal plus injury, run-off-road, nighttime, nighttime run-off-road, and nighttime fatal plus injury crashes. The point estimates for each of these crashes ranged from 0.65 to 0.77 - the results were statistically significant for total and fatal plus injury crashes at the 95th-percentile confidence level."
70,A training intervention to improve frontline construction leaders' safety leadership practices and overall jobsite safety climate,Journal of safety research,2019 Sep,,"Introduction:                       The 2.5 h Foundations for Safety Leadership (FSL) training program teaches construction supervisors the leadership skills they need to strengthen jobsite safety climate and reduce adverse safety-related outcomes.                  Methods:                       Using a quasi-experimental prospective switching replications study design, we examined (1) if FSL-trained jobsite safety leaders would report improved understanding and practice of the FSL leadership skills, safety practices and crew reporting of safety related conditions, and (2) if their crew perceived a change in (a) their supervisors' practices, (b) their own safety practices and reporting of safety-related conditions, and (c) overall jobsite safety climate. Twenty construction sub-contracting companies were recruited and randomly assigned to either an early or lagged-control training group. Participating supervisors and workers completed surveys at multiple time points before and after the FSL training. We used linear mixed modeling to test changes over time.                  Results:                       Only supervisors in the early group reported a statistically significant improvement in their understanding and practice of the leadership skills as well as safety practices from before to 2- and 4-weeks post-training. Overall, no significant change was detected in crew-reported outcomes from before to after their supervisors' participated in the FSL training.                  Conclusions:                       These results provide evidence that the FSL training can, at least in the short-term, improve construction frontline leaders' jobsite leadership skills. Future research could include an evaluation of FSL refresher activities and a longer-term follow-up. Practical applications: The Foundations for Safety Leadership (FSL) program fills an identified need for construction frontline supervisors to learn and practice critical safety leadership skills on the jobsite. It has already reached over 60,000 leaders and has the potential to reach over 100,000 each year during either an OSHA 30-h or a stand-alone course."
71,An Alternative Technique for External Fixation of Traumatic Intra-articular Fractures of Proximal and Middle Phalanx,Techniques in hand & upper extremity surgery,2015 Dec,,"Background:                       Intra-articular fractures of the proximal interphalangeal (PIP) joint are commonly treated with dynamic external fixation. Most commonly used is the Suzuki modification of the pins and rubber traction system (PRTS). There are a few other modifications of the PRTS external fixators. We present an alternative pin external fixator that is simple and effective.                  Methods:                       Under a suitable anesthesia and image intensification a true lateral view of the head of the proximal phalanx is obtained. A K-wire construct holds the affected digit out to length with the fracture reduced and Jurgan pin-balls hold the construct into position. Under image intensification the whole device is checked to ensure the joint and fracture is reduced and the joint is not over distracted. The PIP joint is also checked to ensure good range of motion. The device was checked in clinic at 1 week with radiographs. The wires are removed at 4 weeks followed by intensive hand physiotherapy.                  Results:                       Over 20 patients with intra-articular fractures of the proximal and middle phalangeal were treated with this technique. In all cases the fracture healed with good joint congruency. All patients achieved good range of motion of the PIP joint but with some restriction of full flexion (mean, 20 degrees). There was no loss of position or pin-site infections. There was good compliance with the treatment.                  Discussion:                       The main advantages of the technique we describe are: (1) the compact design, making it less cumbersome for the patient compared with other PRTS external fixators; (2) it is straightforward to assemble and the device is easy to adjust in clinic if there is any loss of reduction; (3) the pin-balls prevent sharp ends of the wire protruding causing morbidity to the patient; (4) there is less chance of loss of traction compared with traction devices using rubber bands. It is a dynamic device, which allows mobilization of the joints reducing stiffness."
72,The Safety Climate Assessment Tool (S-CAT): A rubric-based approach to measuring construction safety climate,Journal of safety research,2019 Jun,,"Introduction:                       This paper presents the development and validation of a new rubric-based Safety Climate Assessment Tool (S-CAT). The S-CAT gives companies the opportunity to use rubric descriptors, rather than traditional Likert scale responses, to self-assess their level of safety climate maturity and receive a composite score benchmarked against others in the S-CAT database.                  Method:                       The S-CAT is composed of 37 separate indicators of 8 safety climate factors identified by construction industry subject matter experts. The eight factors have between three and six indicators each with its own rubric-based response-scale. The scales comprise descriptors for five levels of safety climate maturity ranging from ""inattentive"" to ""exemplary."" Nine hundred and eighty-five respondents working in the construction industry completed the S-CAT via our online safety climate website. We used company recordable incident rates (RIR) to assess the S-CAT's criterion-related validity.                  Results:                       Cronbach alphas for each factor ranged from 0.77 to 0.90 and a confirmatory factor analysis supported the hypothesized eight factor structure with a higher-order safety climate factor. Seven of the eight factor scores, as well as the overall S-CAT score, were significantly negatively correlated with RIR. Moreover, a relative weights analysis indicated that a weighted combination of the eight safety climate factors explained 27% of the variance in organizational RIR.                  Conclusions:                       These findings provide evidence that the S-CAT is a reliable tool allowing construction companies to self-assess their safety climate along eight different factors. Moreover, the S-CAT was significantly associated with organizational injury rates. Practical applications: We discuss how companies can use the rubric descriptors to strengthen their safety management systems and improve their safety climate maturity."
73,Triage tools for detecting cervical spine injury in pediatric trauma patients,The Cochrane database of systematic reviews,2017 Dec 7,,"Background:                       Pediatric cervical spine injury (CSI) after blunt trauma is rare. Nonetheless, missing these injuries can have severe consequences. To prevent the overuse of radiographic imaging, two clinical decision tools have been developed: The National Emergency X-Radiography Utilization Study (NEXUS) criteria and the Canadian C-spine Rule (CCR). Both tools are proven to be accurate in deciding whether or not diagnostic imaging is needed in adults presenting for blunt trauma screening at the emergency department. However, little information is known about the accuracy of these triage tools in a pediatric population.                  Objectives:                       To determine the diagnostic accuracy of the NEXUS criteria and the Canadian C-spine Rule in a pediatric population evaluated for CSI following blunt trauma.                  Search methods:                       We searched the following databases to 24 February 2015: CENTRAL, MEDLINE, MEDLINE Non-Indexed and In-Process Citations, PubMed, Embase, Science Citation Index, ProQuest Dissertations & Theses Database, OpenGrey, ClinicalTrials.gov, World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP), Cochrane Database of Systematic Reviews, the Database of Abstracts of Reviews of Effects, the Health Technology Assessment, and the Aggressive Research Intelligence Facility.                  Selection criteria:                       We included all retrospective and prospective studies involving children following blunt trauma that evaluated the accuracy of the NEXUS criteria, the Canadian C-spine Rule, or both. Plain radiography, computed tomography (CT) or magnetic resonance imaging (MRI) of the cervical spine, and follow-up were considered as adequate reference standards.                  Data collection and analysis:                       Two review authors independently assessed the quality of included studies using the QUADAS-2 checklists. They extracted data on study design, patient characteristics, inclusion and exclusion criteria, clinical parameters, target condition, reference standard, and the diagnostic two-by-two table. We calculated and plotted sensitivity, specificity and negative predictive value in ROC space, and constructed forest plots for visual examination of variation in test accuracy.                  Main results:                       Three cohort studies were eligible for analysis, including 3380 patients ; 96 children were diagnosed with CSI. One study evaluated the accuracy of the Canadian C-spine Rule and the NEXUS criteria, and two studies evaluated the accuracy of the NEXUS criteria. The studies were of moderate quality. Due to the small number of included studies and the diverse outcomes of those studies, we could not describe a pooled estimate for the diagnostic test accuracy. The sensitivity of the NEXUS criteria of the individual studies was 0.57 (95% confidence interval (CI) 0.18 to 0.90), 0.98 (95% CI 0.91 to 1.00) and 1.00 (95% CI 0.88 to 1.00). The specificity of the NEXUS criteria was 0.35 (95% CI 0.25 to 0.45), 0.54 (95% CI 0.45 to 0.62) and 0.2 (95% CI 0.18 to 0.21). For the Canadian C-spine Rule the sensitivity was 0.86 (95% CI 0.42 to 1.00) and specificity was 0.15 (95% CI 0.08 to 0.23). Since the quantity of the data was small we were not able to investigate heterogeneity.                  Authors' conclusions:                       There are currently few studies assessing the diagnostic test accuracy of the NEXUS criteria and CCR in children. At the moment, there is not enough evidence to determine the accuracy of the Canadian C-spine Rule to detect CSI in pediatric trauma patients following blunt trauma. The confidence interval of the sensitivity of the NEXUS criteria between the individual studies showed a wide range, with a lower limit varying from 0.18 to 0.91 with a total of four false negative test results, meaning that if physicians use the NEXUS criteria in children, there is a chance of missing CSI. Since missing CSI could have severe consequences with the risk of significant morbidity, we consider that the NEXUS criteria are at best a guide to clinical assessment, with current evidence not supporting strict or protocolized adoption of the tool into pediatric trauma care. Moreover, we have to keep in mind that the sensitivity differs among several studies, and individual confidence intervals of these studies show a wide range. Our main conclusion is therefore that additional well-designed studies with large sample sizes are required to better evaluate the accuracy of the NEXUS criteria or the Canadian C-spine Rule, or both, in order to determine whether they are appropriate triage tools for the clearance of the cervical spine in children following blunt trauma."
